diagnostic,scale,distance
inter_date,raw,161.0882309629164
inter_date,raw,160.8779807878659
inter_date,raw,160.9842263420624
inter_date,raw,160.9724586395952
inter_date,raw,161.01097548363117
inter_date,raw,161.06195661622772
inter_date,raw,161.02513390772262
inter_date,raw,161.1162189598079
inter_date,raw,222.10389433990656
inter_date,raw,222.14176618932848
inter_date,raw,222.204251009441
inter_date,raw,222.27076205985048
inter_date,raw,222.23052836659332
inter_date,raw,222.2036884632356
inter_date,raw,222.21651282348162
inter_date,raw,222.2017932078
inter_date,raw,141.26548587677033
inter_date,raw,141.31293372545642
inter_date,raw,141.41721034213757
inter_date,raw,141.3240219023881
inter_date,raw,141.28850086327083
inter_date,raw,141.34971196089708
inter_date,raw,141.28568870672405
inter_date,raw,141.2579222388539
inter_date,raw,91.75836863352419
inter_date,raw,91.84565858003306
inter_date,raw,91.71242905330304
inter_date,raw,91.68857422196696
inter_date,raw,91.79517507291256
inter_date,raw,91.7640770309021
inter_date,raw,91.78000028536147
inter_date,raw,91.66882032102092
inter_date,raw,3.6292052783468933
inter_date,raw,3.4323825544364954
inter_date,raw,3.4271760553385224
inter_date,raw,3.4968097705520917
inter_date,raw,3.4570063432315044
inter_date,raw,3.52098302020493
inter_date,raw,3.4831652955595542
inter_date,raw,3.411508882758897
inter_date,raw,3.677068578818368
inter_date,raw,3.6030740843261686
inter_date,raw,3.5393199508218687
inter_date,raw,3.5203490086718876
inter_date,raw,3.5523298860110977
inter_date,raw,3.725715016067705
inter_date,raw,3.600595188893874
inter_date,raw,3.8277651069894185
inter_date,raw,3.6825279231476173
inter_date,raw,3.5688383464171003
inter_date,raw,3.587552886618637
inter_date,raw,3.5441517891819907
inter_date,raw,3.5779999068380834
inter_date,raw,3.5659183683202578
inter_date,raw,3.525628954358289
inter_date,raw,3.6357598930622466
inter_date,raw,3.7169175657359137
inter_date,raw,3.5636224213438723
inter_date,raw,3.5773760003135044
inter_date,raw,3.526262016572763
inter_date,raw,3.5569348763065247
inter_date,raw,3.584440581975699
inter_date,raw,3.5456210417116734
inter_date,raw,3.643323966354011
inter_date,raw,266.25235579105345
inter_date,raw,266.5915705272589
inter_date,raw,170.97774674194412
inter_date,raw,210.07808213908964
inter_date,raw,247.97964586212467
inter_date,raw,229.52836283396022
inter_date,raw,225.95771372727498
inter_date,raw,180.10297567013737
inter_date,raw,246.45056492607387
inter_date,raw,216.3966644129424
inter_date,raw,306.10555631537113
inter_date,raw,309.94475554216956
inter_date,raw,302.2324894490522
